Ticker,Date,Time,Open,High,Low,Close,Volume,OI
AMZN,20240913,09:15:00,187,188.5,185.91,186.49,26495350,0
AMZN,20240912,09:16:00,184.8,187.41,183.54,187,33622480,0
AMZN,20240911,09:17:00,180.1,184.99,175.73,184.52,42564699,0
AMZN,20240910,09:18:00,177.49,180.5,180.5,179.55,36233801,0
AMZN,20240909,09:19:00,174.53,175.85,173.51,175.4,29037359,0
AMZN,20240906,09:20:00,177.24,178.38,171.16,171.39,41466539,0
AMZN,20240905,09:21:00,175,179.88,175,177.89,40170527,0
AMZN,20240904,09:22:00,174.48,175.98,172.54,173.33,30309230,0
AMZN,20240903,09:23:00,177.55,178.26,175.26,176.25,37751800,0
AMZN,20240830,09:24:00,172.78,178.9,172.6,178.5,43429359,0
AMZN,20240829,09:25:00,173.22,174.29,170.81,172.12,26407820,0
AMZN,20240828,09:26:00,173.69,173.69,168.92,170.8,29045029,0
AMZN,20240827,09:27:00,174.15,174.89,172.25,173.12,29841980,0
AMZN,20240826,09:28:00,176.7,177.47,174.3,175.5,22366240,0
AMZN,20240823,09:29:00,177.34,178.97,175.24,177.04,29150090,0
AMZN,20240822,09:30:00,181.38,181.47,175.68,176.13,32047480,0
AMZN,20240821,09:31:00,179.92,182.39,178.89,180.11,35599121,0
AMZN,20240820,09:32:00,177.92,179.01,177.43,178.88,26255199,0
AMZN,20240819,09:33:00,177.64,178.3,176.16,178.22,31129811,0
AMZN,20240816,09:34:00,177.04,178.34,176.26,177.06,31489180,0
AMZN,20240815,09:35:00,174.86,177.91,173.99,177.59,51698512,0
AMZN,20240814,09:36:00,172.11,172.28,168.86,170.1,28843801,0
AMZN,20240813,09:37:00,167.81,171.04,167.1,170.23,39237922,0
AMZN,20240812,09:38:00,168.14,168.55,166.11,166.8,30072789,0
AMZN,20240809,09:39:00,166.4,168.55,165.85,166.94,36401047,0
AMZN,20240808,09:40:00,165.17,166.69,162.55,165.8,44616207,0
AMZN,20240807,09:41:00,166.55,167.58,161.43,162.77,48408238,0
AMZN,20240806,09:42:00,161.71,165.08,158.54,161.93,59950832,0
AMZN,20240805,09:43:00,154.21,162.96,151.61,161.02,83149438,0
AMZN,20240802,09:44:00,166.75,168.77,160.55,167.9,141448406,0
AMZN,20240801,09:45:00,189.29,190.6,181.87,184.07,70435641,0
AMZN,20240731,09:46:00,185.05,187.94,184.46,186.98,41667328,0
AMZN,20240730,09:47:00,184.72,185.86,179.38,181.71,39508566,0
AMZN,20240729,09:48:00,183.84,184.75,182.38,183.2,33270121,0
AMZN,20240726,09:49:00,180.39,183.19,180.24,182.5,29505961,0
AMZN,20240725,09:50:00,182.91,183.9,176.8,179.85,44464160,0
AMZN,20240724,09:51:00,183.2,185.45,180.41,180.83,41532359,0
AMZN,20240723,09:52:00,184.1,189.39,183.56,186.41,47537672,0
AMZN,20240722,09:53:00,185,185.06,182.48,182.55,39931922,0
AMZN,20240719,09:54:00,181.14,184.93,180.11,183.13,43081832,0
AMZN,20240718,09:55:00,189.59,189.68,181.45,183.75,51043633,0
AMZN,20240717,09:56:00,191.35,191.58,185.99,187.93,48076141,0
AMZN,20240716,09:57:00,195.59,196.62,192.24,193.02,33994711,0
AMZN,20240715,09:58:00,194.56,196.19,190.83,192.72,40683230,0
AMZN,20240712,09:59:00,194.8,196.47,193.83,194.49,30598529,0
AMZN,20240711,10:00:00,200.09,200.27,192.86,195.05,44565039,0
